"","title","writer","page","price"
"480","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"481","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"482","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"483","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"484","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"485","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"486","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"487","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"488","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"489","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
